COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;VALOR;VIEJO
901;1;8;3;33846;PUERTA DEL MANIJA EXT;32192.64;True
901;1;8;3;33877;PUERTA TRAS MANIJA EXT;32192.64;True
901;1;8;3;33877;PUERTA TRAS MANIJA EXT;32192.64;True
901;1;8;3;33877;PUERTA TRAS MANIJA EXT;32192.64;True
901;1;8;3;33877;PUERTA TRAS MANIJA EXT;32192.64;True
901;1;8;3;51774;PUERTA DEL MANIJA EXT 2;41195.60;True
901;1;8;3;51774;PUERTA DEL MANIJA EXT 2;4592.62;True
901;1;8;3;51774;PUERTA DEL MANIJA EXT 2;41195.60;True
901;1;8;3;51774;PUERTA DEL MANIJA EXT 2;4592.62;True
901;1;8;3;51825;PUERTA TRAS MANIJA EXT 2;42057.23;True
901;1;8;3;51825;PUERTA TRAS MANIJA EXT 2;42057.23;True
901;1;8;3;51825;PUERTA TRAS MANIJA EXT 2;42057.23;True
901;1;8;3;51825;PUERTA TRAS MANIJA EXT 2;42057.23;True
901;1;12;3;33846;PUERTA DEL MANIJA EXT;70320.01;False
901;1;12;3;33877;PUERTA TRAS MANIJA EXT;70320.01;False
901;1;15;3;33846;PUERTA DEL MANIJA EXT;73849.31;False
901;1;19;3;33846;PUERTA DEL MANIJA EXT;326999.02;False
901;1;21;3;33846;PUERTA DEL MANIJA EXT;326999.02;False
901;1;21;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;23;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;23;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;23;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;23;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;23;3;33877;PUERTA TRAS MANIJA EXT;72264.02;False
901;1;23;3;33877;PUERTA TRAS MANIJA EXT;72264.02;False
901;1;23;3;33877;PUERTA TRAS MANIJA EXT;72264.02;False
901;1;23;3;33877;PUERTA TRAS MANIJA EXT;72264.02;False
901;1;23;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;23;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;23;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;23;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;23;3;51824;PUERTA TRAS MANIJA EXT 1;89331.98;False
901;1;23;3;51824;PUERTA TRAS MANIJA EXT 1;89331.98;False
901;1;23;3;51824;PUERTA TRAS MANIJA EXT 1;89331.98;False
901;1;23;3;51824;PUERTA TRAS MANIJA EXT 1;89331.98;False
901;1;27;3;33877;PUERTA TRAS MANIJA EXT;78599.05;True
901;1;27;3;33877;PUERTA TRAS MANIJA EXT;78599.05;True
901;1;27;3;33877;PUERTA TRAS MANIJA EXT;78599.05;True
901;1;27;3;33877;PUERTA TRAS MANIJA EXT;78599.05;True
901;1;28;3;33846;PUERTA DEL MANIJA EXT;94921.01;False
901;1;28;3;51773;PUERTA DEL MANIJA EXT 1;114742.99;False
901;1;30;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;30;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;30;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;30;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;30;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;30;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;30;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;30;3;51773;PUERTA DEL MANIJA EXT 1;326999.02;False
901;1;34;3;33846;PUERTA DEL MANIJA EXT;84228.95;False
901;1;34;3;33877;PUERTA TRAS MANIJA EXT;84228.95;False
901;1;35;3;33877;PUERTA TRAS MANIJA EXT;32192.64;True
901;1;35;3;51774;PUERTA DEL MANIJA EXT 2;41195.60;True
901;1;35;3;51825;PUERTA TRAS MANIJA EXT 2;42057.23;True
901;1;37;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
901;1;37;3;33846;PUERTA DEL MANIJA EXT;36438.65;False
